"id","sequence","code","name","document_letter_id/id","report_name","internal_type","doc_code_prefix","localization","validator_id/id"
"account_document.dc_inv","10","","INVOICE","","INVOICE","Invoices","IN ","Generic",""
"account_document.dc_cn","10","","CREDIT NOTE","","CREDIT NOTE","Credit Notes","CN ","Generic",""
"account_document.dc_dn","10","","DEBIT NOTE","","DEBIT NOTE","Debit Notes","DB ","Generic",""
"l10n_ar_account.dc_a_f","10","1","FACTURAS A","l10n_ar_account.dl_a","FC","Invoices","FA A ","Argentina","l10n_ar_account.validator_numero_factura"
"l10n_ar_account.dc_a_nd","20","2","NOTAS DE DEBITO A","l10n_ar_account.dl_a","ND","Debit Notes","ND A ","Argentina","l10n_ar_account.validator_numero_factura"
"l10n_ar_account.dc_a_nc","30","3","NOTAS DE CREDITO A","l10n_ar_account.dl_a","NC","Credit Notes","NC A ","Argentina","l10n_ar_account.validator_numero_factura"
"l10n_ar_account.dc_a_r","40","4","RECIBOS A","l10n_ar_account.dl_a","FREC","Receipt Invoice","RE A ","Argentina","l10n_ar_account.validator_numero_factura"
"l10n_ar_account.dc_a_nvc","50","5","NOTAS DE VENTA AL CONTADO A","l10n_ar_account.dl_a","","","","Argentina","l10n_ar_account.validator_numero_factura"
"l10n_ar_account.dc_b_f","60","6","FACTURAS B","l10n_ar_account.dl_b","FC","Invoices","FA B ","Argentina","l10n_ar_account.validator_numero_factura"
"l10n_ar_account.dc_b_nd","70","7","NOTAS DE DEBITO B","l10n_ar_account.dl_b","ND","Debit Notes","ND B ","Argentina","l10n_ar_account.validator_numero_factura"
"l10n_ar_account.dc_b_nc","80","8","NOTAS DE CREDITO B","l10n_ar_account.dl_b","NC","Credit Notes","NC B ","Argentina","l10n_ar_account.validator_numero_factura"
"l10n_ar_account.dc_b_r","90","9","RECIBOS B","l10n_ar_account.dl_b","FREC","Receipt Invoice","RE B ","Argentina",""
"l10n_ar_account.dc_b_nvc","100","10","NOTAS DE VENTA AL CONTADO B","l10n_ar_account.dl_b","","","","Argentina",""
"l10n_ar_account.dc_c_f","110","11","FACTURAS C","l10n_ar_account.dl_c","FC","Invoices","FA C ","Argentina","l10n_ar_account.validator_numero_factura"
"l10n_ar_account.dc_c_nd","120","12","NOTAS DE DEBITO C","l10n_ar_account.dl_c","ND","Debit Notes","ND C ","Argentina","l10n_ar_account.validator_numero_factura"
"l10n_ar_account.dc_c_nc","130","13","NOTAS DE CREDITO C","l10n_ar_account.dl_c","NC","Credit Notes","NC C ","Argentina","l10n_ar_account.validator_numero_factura"
"l10n_ar_account.dc_aduana","140","14","DOCUMENTO ADUANERO","","","","","Argentina",""
"l10n_ar_account.dc_c_r","150","15","RECIBOS C","l10n_ar_account.dl_c","FREC","Receipt Invoice","RE C ","Argentina","l10n_ar_account.validator_numero_factura"
"l10n_ar_account.dc_c_nvc","160","16","NOTAS DE VENTA AL CONTADO C","l10n_ar_account.dl_c","","","","Argentina","l10n_ar_account.validator_numero_factura"
"l10n_ar_account.dc_e_f","170","19","FACTURAS DE EXPORTACION","l10n_ar_account.dl_e","FC","Invoices","FA E ","Argentina","l10n_ar_account.validator_numero_factura"
"l10n_ar_account.dc_e_nd","180","20","NOTAS DE DEBITO POR OPERACIONES CON EL EXTERIOR","l10n_ar_account.dl_e","ND","Debit Notes","ND E ","Argentina","l10n_ar_account.validator_numero_factura"
"l10n_ar_account.dc_e_nc","190","21","NOTAS DE CREDITO POR OPERACIONES CON EL EXTERIOR","l10n_ar_account.dl_e","NC","Credit Notes","NC E ","Argentina","l10n_ar_account.validator_numero_factura"
"l10n_ar_account.dc_t_f","170","195","FACTURAS DE TURISMO","l10n_ar_account.dl_t","FC","Invoices","FA T ","Argentina","l10n_ar_account.validator_numero_factura"
"l10n_ar_account.dc_t_nd","180","196","NOTAS DE DEBITO POR OPERACIONES TURISMO","l10n_ar_account.dl_t","ND","Debit Notes","ND T ","Argentina","l10n_ar_account.validator_numero_factura"
"l10n_ar_account.dc_t_nc","190","197","NOTAS DE CREDITO POR OPERACIONES TURISMO","l10n_ar_account.dl_t","NC","Credit Notes","NC T ","Argentina","l10n_ar_account.validator_numero_factura"
"l10n_ar_account.fa_exterior","195","","FACTURAS Y COMPROBANTES DEL EXTERIOR","l10n_ar_account.dl_i","FC","Invoices","FA I ","Argentina",""
"l10n_ar_account.nc_exterior","196","","NOTAS DE CREDITO Y REEMBOLSOS DEL EXTERIOR","l10n_ar_account.dl_i","ND","Credit Notes","NCI ","Argentina",""
"l10n_ar_account.dc_e_fs","200","22","FACTURAS - PERMISO EXPORTACION SIMPLIFICADO - DTO. 855/97","","","","","Argentina",""
"l10n_ar_account.dc_usados","210","30","COMPROBANTES DE COMPRA DE BIENES USADOS","","","","","Argentina",""
"l10n_ar_account.dc_mandato","220","31","MANDATO - CONSIGNACION","","","","","Argentina",""
"l10n_ar_account.dc_reciclado","230","32","COMPROBANTES PARA RECICLAR MATERIALES","","","","","Argentina",""
"l10n_ar_account.dc_a_rg1415","240","34","COMPROBANTES A DEL APARTADO A  INCISO F  R G  N  1415","l10n_ar_account.dl_a","","","","Argentina",""
"l10n_ar_account.dc_b_rg1415","250","35","COMPROBANTES B DEL ANEXO I, APARTADO A, INC. F), RG N° 1415","l10n_ar_account.dl_b","","","","Argentina",""
"l10n_ar_account.dc_c_rg1415","260","36","COMPROBANTES C DEL Anexo I, Apartado A, INC.F), R.G. N° 1415","l10n_ar_account.dl_c","","","","Argentina",""
"l10n_ar_account.dc_nd_rg1415","270","37","NOTAS DE DEBITO O DOCUMENTO EQUIVALENTE QUE CUMPLAN CON LA R.G. N° 1415","","","","","Argentina",""
"l10n_ar_account.dc_nc_rg1415","280","38","NOTAS DE CREDITO O DOCMENTO EQUIVALENTE QUE CUMPLAN CON LA R.G. N° 1415","","","","","Argentina",""
"l10n_ar_account.dc_a_o_rg1415","290","39","OTROS COMPROBANTES A QUE CUMPLEN CON LA R G  1415","l10n_ar_account.dl_a","","","","Argentina",""
"l10n_ar_account.dc_b_o_rg1415","300","40","OTROS COMPROBANTES B QUE CUMPLAN CON LA R.G. N° 1415","l10n_ar_account.dl_b","","","","Argentina",""
"l10n_ar_account.dc_c_o_rg1415","310","41","OTROS COMPROBANTES C QUE CUMPLAN CON LA R.G. N° 1415","l10n_ar_account.dl_c","","","","Argentina",""
"l10n_ar_account.dc_a_rf","320","50","RECIBO FACTURA A  REGIMEN DE FACTURA DE CREDITO","l10n_ar_account.dl_a","","","","Argentina",""
"l10n_ar_account.dc_m_f","330","51","FACTURAS M","l10n_ar_account.dl_m","FC","Invoices","FA M ","Argentina","l10n_ar_account.validator_numero_factura"
"l10n_ar_account.dc_m_nd","340","52","NOTAS DE DEBITO M","l10n_ar_account.dl_m","ND","Debit Notes","ND M ","Argentina","l10n_ar_account.validator_numero_factura"
"l10n_ar_account.dc_m_nc","350","53","NOTAS DE CREDITO M","l10n_ar_account.dl_m","NC","Credit Notes","NC M ","Argentina","l10n_ar_account.validator_numero_factura"
"l10n_ar_account.dc_m_r","360","54","RECIBOS M","l10n_ar_account.dl_m","FREC","Receipt Invoice","RE M ","Argentina","l10n_ar_account.validator_numero_factura"
"l10n_ar_account.dc_m_nvc","370","55","NOTAS DE VENTA AL CONTADO M","l10n_ar_account.dl_m","","","","Argentina","l10n_ar_account.validator_numero_factura"
"l10n_ar_account.dc_m_rg1415","380","56","COMPROBANTES M DEL ANEXO I  APARTADO A  INC F   R G  N  1415","l10n_ar_account.dl_m","","","","Argentina",""
"l10n_ar_account.dc_m_o_rg1415","390","57","OTROS COMPROBANTES M QUE CUMPLAN CON LA R G  N  1415","l10n_ar_account.dl_m","","","","Argentina",""
"l10n_ar_account.dc_m_cvl","400","58","CUENTAS DE VENTA Y LIQUIDO PRODUCTO M","l10n_ar_account.dl_m","","","","Argentina",""
"l10n_ar_account.dc_m_l","410","59","LIQUIDACIONES M","l10n_ar_account.dl_m","","","","Argentina",""
"l10n_ar_account.dc_a_cvl","420","60","CUENTAS DE VENTA Y LIQUIDO PRODUCTO A","l10n_ar_account.dl_a","LPROD","Invoices","LP A ","Argentina",""
"l10n_ar_account.dc_b_cvl","430","61","CUENTAS DE VENTA Y LIQUIDO PRODUCTO B","l10n_ar_account.dl_b","LPROD","Invoices","LP B ","Argentina",""
"l10n_ar_account.dc_a_l","440","63","LIQUIDACIONES A","l10n_ar_account.dl_a","LIQ","Invoices","LQ A ","Argentina",""
"l10n_ar_account.dc_b_l","450","64","LIQUIDACIONES B","l10n_ar_account.dl_b","LIQ","Invoices","LQ B ","Argentina",""
"l10n_ar_account.dc_nc","460","65","NOTAS DE CREDITO DE COMPROBANTES CON COD. 34, 39, 58, 59, 60, 63, 96, 97,","","","","","Argentina","l10n_ar_account.validator_numero_factura"
"l10n_ar_account.dc_desp_imp","470","66","DESPACHO DE IMPORTACION","","DIMP","Invoices","I ","Argentina","l10n_ar_account.validator_despacho"
"l10n_ar_account.dc_imp_serv","480","67","IMPORTACION DE SERVICIOS","","","In Document","","Argentina","l10n_ar_account.validator_despacho"
"l10n_ar_account.dc_c_l","490","68","LIQUIDACION C","l10n_ar_account.dl_c","LIQ","Invoices","LQ C ","Argentina",""
"l10n_ar_account.dc_rfc","500","70","RECIBOS FACTURA DE CREDITO","","","","","Argentina",""
"l10n_ar_account.dc_cfcp","510","71","CREDITO FISCAL POR CONTRIBUCIONES PATRONALES","","","","","Argentina",""
"l10n_ar_account.dc_f1116","520","73","FORMULARIO 1116 RT","","","","","Argentina",""
"l10n_ar_account.dc_cptag","530","74","CARTA DE PORTE PARA EL TRANSPORTE AUTOMOTOR PARA GRANOS","","","","","Argentina",""
"l10n_ar_account.dc_cptfg","540","75","CARTA DE PORTE PARA EL TRANSPORTE FERROVIARIO PARA GRANOS","","","","","Argentina",""
"l10n_ar_account.dc_zeta","550","80","COMPROBANTE DIARIO DE CIERRE (ZETA)","","","","","Argentina",""
"l10n_ar_account.dc_a_t","560","81","TIQUE - FACTURA A","l10n_ar_account.dl_a","TIQ","Invoices","TQ A ","Argentina",""
"l10n_ar_account.dc_b_t","570","82","TIQUE - FACTURA B","l10n_ar_account.dl_b","TIQ","Invoices","TQ B ","Argentina",""
"l10n_ar_account.dc_t","580","83","TIQUE","l10n_ar_account.dl_x","TIQ","Invoices","TIQUE ","Argentina",""
"l10n_ar_account.dc_sp_c","590","84","COMPROBANTE   FACTURA DE SERVICIOS PUBLICOS   INTERESES FINANCIEROS","","","","","Argentina",""
"l10n_ar_account.dc_sp_nc","600","85","NOTA DE CREDITO   SERVICIOS PUBLICOS   NOTA DE CREDITO CONTROLADORES FISCALES","","","","","Argentina",""
"l10n_ar_account.dc_sp_nd","610","86","NOTA DE DEBITO   SERVICIOS PUBLICOS","","","","","Argentina",""
"l10n_ar_account.dc_oc_se","620","87","OTROS COMPROBANTES - SERVICIOS DEL EXTERIOR","","","","","Argentina",""
"l10n_ar_account.dc_oc_c","630","88","OTROS COMPROBANTES - DOCUMENTOS EXCEPTUADOS / REMITO ELECTRONICO,","","","","","Argentina",""
"l10n_ar_account.dc_oc_nd","640","89","OTROS COMPROBANTES - DOCUMENTOS EXCEPTUADOS - NOTAS DE DEBITO / RESUMEN DE DATOS","","","","","Argentina",""
"l10n_ar_account.dc_oc_nc","650","90","OTROS COMPROBANTES - DOCUMENTOS EXCEPTUADOS - NOTAS DE CREDITO","","","","","Argentina",""
"l10n_ar_account.dc_r_r","660","91","REMITOS R","","","","","Argentina",""
